Full_Name,Aadhaar_Number,Date_of_Birth,Gender,Address,Phone_Number
Kismat Basu,078585140670,28-02-1966,Female,"H.No. 140, Ratti Nagar, Khora  423762",9017787752
Kabir Upadhyay,751472264192,19-03-1994,Female,"16/08, Agrawal Zila, Jabalpur-457522",9260718365
Alia Bhargava,550109827035,29-07-1978,Female,"774, Dugal Nagar, Tezpur 622890",9585000777
Rhea Cherian,240843659132,16-07-1994,Male,"85, Bhatnagar Road, Hapur 052935",9033025067
Darshit Sama,297728004657,07-06-1992,Female,"114, Korpal, Kollam 942308",9482348306
Nirvaan Saini,237895916761,22-10-1993,Male,"H.No. 704, Varma Nagar, Hapur 962984",9464342398
Anvi Chanda,626390229904,11-10-1990,Male,"49/535, Mann Path, Nashik 498842",9695516997
Devansh Vasa,036096095581,06-10-1973,Male,"995, Mann Chowk, Bidhannagar-712694",9187199494
Jhanvi Sha,869369228751,15-03-1978,Male,"49/537, Sem Chowk, Erode 897943",9954968314
Fateh Sani,800623935906,11-08-1970,Female,"69/23, Bedi Marg, Nizamabad-144113",9451897627
Rhea Loyal,729353853913,31-05-1979,Male,"36/63, Apte Circle, Guntur-803329",9016897595
Indrans Raja,979961592716,06-12-1971,Female,"483, Balasubramanian Chowk, Sonipat-520893",9443812114
Nirvi Hegde,356406961572,30-08-1994,Male,"29, Keer Path, Kamarhati-228339",9954160826
Heer Chokshi,924149389091,10-11-1982,Female,"H.No. 284, Sawhney Ganj, Adoni 191632",9878199009
Divit Bera,931441205015,30-09-1974,Male,"36/44, Sha Marg, Mahbubnagar-903603",9579099773
Sana Bahl,633833187083,10-08-1990,Male,"22/655, Raman Street, Malda 143555",9907562448
Vritika Mani,063419163170,12-02-1989,Male,"H.No. 045, Hegde Chowk, Dehradun 151126",9119270263
Rhea Agate,397699801648,14-07-1996,Female,"90, Luthra, Bathinda-331207",9822615720
Ela Bhagat,535436479757,13-06-1991,Male,"H.No. 63, Chowdhury Nagar, Hindupur 669237",9071050835
Nakul Bhatt,838275120802,08-08-1991,Male,"18, Master Chowk, Jamshedpur 558535",9439803051
Damini Iyengar,618897227477,11-07-1996,Female,"H.No. 70, Swamy Nagar, Visakhapatnam 181445",9117789027
Anvi Kota,696222876224,14-11-1996,Male,"66, Garg Road, Panihati-583801",9500583487
Navya Madan,653068551361,07-09-1996,Female,"62/50, Dash, Karnal 984103",9697355015
Stuvan Dhar,162833387672,08-09-1972,Female,"36/162, Dalal Circle, Jamshedpur-722829",9029623430
Ivan Tank,499137211232,13-11-1989,Male,"53, Samra Path, Bijapur 336535",9453289598
Kiaan Dey,018839777850,13-08-1999,Female,"36/210, Mane Marg, Gwalior 356506",9236877798
Khushi Kurian,846677987823,18-03-1988,Female,"33/861, Chandra Nagar, Ghaziabad-126483",9023637055
Fateh Sharaf,873259496266,22-01-1974,Male,"86/64, Thaker Path, Kavali-497545",9900425782
Nakul Kulkarni,177582700760,19-04-1965,Female,"27/309, Chaudry Circle, Bulandshahr-043529",9375054124
Kiaan Garg,173513297306,19-11-1969,Female,"41/957, Singhal Street, Bhavnagar 355017",9186144504
Nirvaan Apte,899434790192,11-04-1979,Male,"24/414, Bhat Chowk, Tiruvottiyur-971248",9201989619
Mamooty Malhotra,156376413311,14-10-1964,Female,"H.No. 231, Bhatt Path, Purnia 696365",9991835621
Vihaan Deshmukh,703179206987,09-07-1987,Male,"H.No. 405, Jain Circle, Bhilai 805102",9202124175
Yuvraj  Ramesh,373313384925,10-11-1967,Male,"H.No. 90, Keer Chowk, Ghaziabad 968151",9730985472
Advika Mahajan,965939688361,22-01-1982,Female,"694, Bhattacharyya Street, Delhi-848730",9548441931
Jayesh Chhabra,069383366552,14-06-1979,Female,"90/68, Aggarwal Ganj, Guwahati-930380",9965131470
Prerak Jani,736174341284,17-03-2001,Female,"39/748, Subramaniam Ganj, Gangtok 744220",9048877550
Nitara Mannan,821310822793,23-07-2001,Male,"93/49, Acharya Road, Aurangabad-788452",9555583387
Mishti Ahuja,186414210909,17-02-2001,Male,"13, Dhar Marg, Patna-370900",9576735706
Yuvaan Chanda,671721286239,11-01-1971,Female,"252, Saha, Muzaffarpur 553682",9299593603
Vivaan Dash,057170656007,03-05-1996,Male,"18/50, Dhillon Road, Rohtak-363898",9471662047
Nayantara Johal,202982253208,14-02-1987,Male,"H.No. 346, Kamdar Nagar, Muzaffarpur-920476",9244385992
Indrans Dutta,582279017976,04-08-1978,Female,"78, Karnik Chowk, Gwalior-675270",9377657357
Faiyaz Tailor,662969541017,28-09-1965,Male,"45, Dey Street, Haldia 954349",9209222884
Suhana Dash,261525614940,21-06-2007,Female,"H.No. 31, Iyer Chowk, Vijayawada 556549",9473044710
Gatik Ratti,844750448103,25-05-1990,Male,"H.No. 951, Amble Marg, Sonipat 612877",9143353827
Shamik Wable,452078278209,15-06-1979,Male,"H.No. 064, Bumb Road, Cuttack 907291",9392262789
Prisha Kohli,477460615962,30-06-1977,Female,"49/21, Bora Nagar, Tadepalligudem 275921",9020596287
Nitara Mandal,160065898413,01-03-1982,Female,"H.No. 54, Kunda Road, Buxar 805147",9448741275
Adira Kaul,876547319830,03-04-1983,Female,"43, Magar Zila, Kanpur 876497",9325095971
